param,value,model,record,f1,precision,recall,tp,fp,fn,threshold_updates
margin,0.25,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.25,INT8,222,0.44680851063829785,0.5029940119760479,0.4019138755980861,84,83,125,243
margin,0.25,INT8,228,0.9755434782608695,0.967654986522911,0.9835616438356164,359,12,6,200
margin,0.25,INT8,231,0.1739130434782609,0.1,0.6666666666666666,2,18,1,151
margin,0.25,INT8,232,0.024573378839590446,0.21686746987951808,0.013024602026049204,18,65,1364,173
margin,0.25,INT8,233,0.8755020080321286,0.9954337899543378,0.7813620071684588,654,3,183,301
margin,0.25,INT8,234,0.28125,0.8181818181818182,0.16981132075471697,9,2,44,270
margin,0.3,INT8,100,0.955223880597015,0.9696969696969697,0.9411764705882353,32,1,2,222
margin,0.3,INT8,103,0.0,0.0,0.0,0,0,2,203
margin,0.3,INT8,105,0.44274809160305345,0.32222222222222224,0.7073170731707317,29,61,12,251
margin,0.3,INT8,111,0.18181818181818182,0.1,1.0,1,9,0,207
margin,0.3,INT8,113,0.28571428571428575,0.1724137931034483,0.8333333333333334,5,24,1,174
margin,0.3,INT8,117,0.0,0.0,0.0,0,31,1,148
margin,0.3,INT8,121,0.08333333333333334,0.045454545454545456,0.5,1,21,1,181
margin,0.3,INT8,123,0.6666666666666666,0.5,1.0,3,3,0,146
margin,0.3,INT8,200,0.9786476868327402,0.9927797833935018,0.9649122807017544,825,6,30,254
margin,0.3,INT8,202,0.7162162162162162,0.7162162162162162,0.7162162162162162,53,21,21,208
margin,0.3,INT8,210,0.8803611738148983,0.8628318584070797,0.8986175115207373,195,31,22,258
margin,0.3,INT8,212,0.0,0.0,0.0,0,0,0,269
margin,0.3,INT8,213,0.9758064516129032,0.9758064516129032,0.9758064516129032,242,6,6,283
margin,0.3,INT8,214,0.9125475285171102,0.8888888888888888,0.9375,240,30,16,220
margin,0.3,INT8,219,0.29523809523809524,0.17765042979942694,0.8732394366197183,62,287,9,210
margin,0.3,INT8,221,0.9826302729528535,0.9658536585365853,1.0,396,14,0,237
margin,0.3,INT8,222,0.4474393530997305,0.5123456790123457,0.39712918660287083,83,79,126,243
margin,0.3,INT8,228,0.9782016348773842,0.9728997289972899,0.9835616438356164,359,10,6,200
margin,0.3,INT8,231,0.1904761904761905,0.1111111111111111,0.6666666666666666,2,16,1,151
margin,0.3,INT8,232,0.023383768913342505,0.2361111111111111,0.012301013024602027,17,55,1365,173
margin,0.3,INT8,233,0.8702084734364494,0.9953846153846154,0.7729988052568698,647,3,190,301
margin,0.3,INT8,234,0.22580645161290322,0.7777777777777778,0.1320754716981132,7,2,46,270
buffer_size,50,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
buffer_size,50,Float32,103,0.0,0.0,0.0,0,0,2,203
buffer_size,50,Float32,105,0.4328358208955224,0.3118279569892473,0.7073170731707317,29,64,12,251
buffer_size,50,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
buffer_size,50,Float32,113,0.2380952380952381,0.1388888888888889,0.8333333333333334,5,31,1,174
buffer_size,50,Float32,117,0.0,0.0,0.0,0,49,1,148
buffer_size,50,Float32,121,0.07692307692307693,0.041666666666666664,0.5,1,23,1,181
buffer_size,50,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
buffer_size,50,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
buffer_size,50,Float32,202,0.7333333333333334,0.7236842105263158,0.7432432432432432,55,21,19,208
buffer_size,50,Float32,210,0.869179600886918,0.8376068376068376,0.9032258064516129,196,38,21,258
buffer_size,50,Float32,212,0.0,0.0,0.0,0,0,0,269
buffer_size,50,Float32,213,0.9224952741020794,0.8683274021352313,0.9838709677419355,244,37,4,283
buffer_size,50,Float32,214,0.7947454844006568,0.6855524079320113,0.9453125,242,111,14,220
buffer_size,50,Float32,219,0.2581967213114754,0.1510791366906475,0.8873239436619719,63,354,8,210
buffer_size,50,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
buffer_size,50,Float32,222,0.49496981891348085,0.4270833333333333,0.5885167464114832,123,165,86,243
buffer_size,50,Float32,228,0.9715832205683356,0.9598930481283422,0.9835616438356164,359,15,6,200
buffer_size,50,Float32,231,0.2,0.11764705882352941,0.6666666666666666,2,15,1,151
buffer_size,50,Float32,232,0.038744154976619906,0.25217391304347825,0.020984081041968163,29,86,1353,173
buffer_size,50,Float32,233,0.8861736334405144,0.9596100278551533,0.8231780167264038,689,29,148,301
buffer_size,50,Float32,234,0.25396825396825395,0.8,0.1509433962264151,8,2,45,270
buffer_size,100,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
buffer_size,100,Float32,103,0.0,0.0,0.0,0,0,2,203
buffer_size,100,Float32,105,0.42028985507246375,0.29896907216494845,0.7073170731707317,29,68,12,251
buffer_size,100,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
buffer_size,100,Float32,113,0.2380952380952381,0.1388888888888889,0.8333333333333334,5,31,1,174
buffer_size,100,Float32,117,0.0,0.0,0.0,0,43,1,148
buffer_size,100,Float32,121,0.07407407407407407,0.04,0.5,1,24,1,181
buffer_size,100,Float32,123,0.6666666666666666,0.5,1.0,3,3,0,146
buffer_size,100,Float32,200,0.9774881516587677,0.9903961584633854,0.9649122807017544,825,8,30,254
buffer_size,100,Float32,202,0.7272727272727273,0.7,0.7567567567567568,56,24,18,208
buffer_size,100,Float32,210,0.8634361233480177,0.8270042194092827,0.9032258064516129,196,41,21,258
buffer_size,100,Float32,212,0.0,0.0,0.0,0,0,0,269
buffer_size,100,Float32,213,0.9366602687140116,0.8937728937728938,0.9838709677419355,244,29,4,283
buffer_size,100,Float32,214,0.8145695364238411,0.7068965517241379,0.9609375,246,102,10,220
buffer_size,100,Float32,219,0.2641509433962264,0.15517241379310345,0.8873239436619719,63,343,8,210
buffer_size,100,Float32,221,0.9789864029666254,0.9588377723970944,1.0,396,17,0,237
buffer_size,100,Float32,222,0.48347107438016534,0.4254545454545455,0.5598086124401914,117,158,92,243
buffer_size,100,Float32,228,0.97289972899729,0.9624664879356568,0.9835616438356164,359,14,6,200
buffer_size,100,Float32,231,0.1739130434782609,0.1,0.6666666666666666,2,18,1,151
buffer_size,100,Float32,232,0.03485254691689008,0.23636363636363636,0.01881331403762663,26,84,1356,173
buffer_size,100,Float32,233,0.8831504196255648,0.9606741573033708,0.8172043010752689,684,28,153,301
buffer_size,100,Float32,234,0.25396825396825395,0.8,0.1509433962264151,8,2,45,270
buffer_size,150,Float32,100,0.9705882352941176,0.9705882352941176,0.9705882352941176,33,1,1,222
buffer_size,150,Float32,103,0.0,0.0,0.0,0,0,2,203
buffer_size,150,Float32,105,0.4444444444444444,0.3191489361702128,0.7317073170731707,30,64,11,251
buffer_size,150,Float32,111,0.16666666666666669,0.09090909090909091,1.0,1,10,0,207
